            1 ===============
    0.000   -3.117   -2.052   -1.394   -1.542    0.690    0.690   -0.958   -0.848   -1.102
   -1.508    0.250    0.690    0.215    0.690    0.690    0.690    0.690    0.690    0.317
    0.317   -1.069   -0.782    0.284    0.179    0.215    0.141    0.690   -0.073    0.690
    0.215    0.690    0.690    0.179    0.250    0.284    0.690    0.690    0.690   -0.173
   -0.121    0.690    0.690   -0.675    0.690    0.690    0.284    0.690    0.317    0.690
    0.690    0.690    0.317   -0.376    0.690    0.690    0.690    0.690   -0.632    0.690
    0.690    0.690    0.061    0.690    0.690   -0.478   -0.478   -0.514   -0.591
            2 ===============
   -3.117    0.000   -2.506   -1.443   -1.354   -0.284    0.690   -0.782   -0.284   -0.255
   -0.948   -0.689    0.690   -0.314    0.690   -0.227    0.690    0.690    0.466   -0.920
    0.690    0.690   -0.227    0.438    0.690    0.379    0.349    0.690    0.179    0.690
    0.690    0.690    0.379   -0.345    0.690    0.690    0.690    0.690    0.690    0.690
    0.690    0.690    0.690    0.690    0.690    0.690    0.690    0.690    0.690    0.690
    0.690    0.466    0.466   -0.227   -1.102   -0.409   -0.478    0.284   -1.102    0.690
    0.284    0.349    0.690   -0.815    0.690    0.690    0.690    0.690   -0.409
            3 ===============
   -2.052   -2.506    0.000   -2.870   -2.076   -1.412   -0.409    0.284    0.379    0.409
    0.690   -0.314    0.379    0.379    0.379    0.438    0.690    0.690    0.690    0.690
    0.690    0.690    0.438   -0.284   -0.782   -1.038   -0.782    0.379    0.690    0.690
    0.379    0.690   -0.345    0.349   -0.314   -0.284    0.379    0.438    0.690    0.690
    0.018    0.690    0.690    0.690    0.690    0.690    0.690    0.690    0.690    0.690
    0.690    0.438    0.690   -1.354   -0.815    0.690    0.215    0.250   -0.443    0.250
    0.250    0.690    0.690    0.690    0.690    0.690    0.690    0.690    0.690
            4 ===============
   -1.394   -1.443   -2.870    0.000   -2.679   -1.325    0.690   -0.478   -1.293    0.690
    0.349    0.317    0.690    0.317    0.317   -0.314    0.690    0.690    0.690   -0.314
    0.690    0.379    0.690   -0.750    0.690   -0.409   -0.443    0.317    0.061    0.179
    0.690    0.317    0.690   -0.409    0.690    0.379    0.349    0.690    0.690   -0.026
    0.690    0.690    0.690    0.690    0.690    0.690    0.690    0.379    0.690    0.690
   -0.719    0.379   -0.719    0.690    0.690    0.690   -0.591    0.141    0.141   -0.514
    0.215    0.317    0.215    0.215    0.690    0.317    0.690    0.690    0.690
            5 ===============
