0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.919 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
0.861 0.162 0.521  0.920 
