c0001 40 39
c0004 53 34
c0006 64 37
c0008 53 33
c0014 49 34
c0017 45 34
c0018 35 52
c0019 49 33
c0020 55 35
c0022 57 36
c0023 46 39
c0025 38 41
c0030 65 36
c0031 40 41
c0032 57 32
c0033 60 34
c0036 55 34
c0037 66 39
c0043 51 33
c0044 50 46
c0047 52 41
c0048 70 39
c0049 44 32
c0050 53 32
c0054 50 41
c0055 43 37
c0056 44 35
c0057 60 34
c0059 56 31
c0061 47 43
c0070 47 43
c0071 62 36
c0073 54 33
c0074 42 36
c0075 50 50
c0076 64 36
c0078 53 38
c0079 42 37
c0080 55 43
c0081 35 75
c0085 50 33
c0086 48 35
c0087 56 34
c0089 64 38
c0093 56 31
c0094 35 50
c0095 48 33
c0096 69 50
c0097 44 59
c0099 34 65
c0100 57 35
c0101 46 48
c0103 43 40
c0104 36 41
c0105 37 42
c0106 40 45
c0107 45 42
c0108 53 38
c0109 49 31
c0111 58 52
c0112 56 41
c0113 53 36
c0114 41 51
c0115 50 34
c0119 74 43
c0126 64 51
c0128 63 42
c0130 59 33
c0131 72 38
c0132 43 51
c0134 61 45
c0135 48 37
c0136 44 40
c0137 36 56
c0139 48 34
c0140 69 35
c0142 42 35
c0143 65 31
c0144 41 45
c0147 48 38
c0148 80 38
c0149 36 48
c0150 45 41
c0151 72 44
c0153 49 32
c0154 53 33
c0155 58 31
c0156 56 39
c0157 78 39
c0159 37 41
c0160 69 35
c0161 53 39
c0162 68 49
c0163 47 44
c0164 34 43
c0165 73 31
c0167 76 36
c0168 46 31
c0169 52 35
c0170 32 57
c0171 42 35
c0173 54 37
c0174 37 60
c0175 58 32
c0176 55 32
c0178 56 37
c0179 62 42
c0181 54 67
c0183 52 36
c0184 43 48
c0185 50 33
c0186 62 36
c0187 46 35
c0190 47 46
c0191 31 53
c0192 52 45
c0193 55 38
c0200 53 38
c0201 71 42
c0203 51 46
c0206 62 52
c0207 41 50
c0208 53 37
c0209 50 66
c0213 42 45
c0214 47 36
c0215 35 56
c0216 57 51
c0219 39 53
c0220 59 47
c0221 68 34
c0222 74 33
c0223 46 39
c0224 42 36
c0226 37 44
c0227 41 76
c0228 60 39
c0229 37 66
c0230 72 45
c0231 31 60
c0232 64 34
c0233 61 46
c0234 63 52
c0235 45 61
c0238 64 36
c0239 54 33
c0242 65 38
c0243 67 42
c0244 44 35
c0247 63 45
c0248 31 50
c0249 38 78
c0250 64 50
c0251 53 41
c0253 41 58
c0254 35 44
c0257 42 51
c0258 69 31
c0261 55 63
c0262 42 36
c0263 41 40
c0264 57 31
c0265 59 46
c0266 34 55
c0267 31 53
c0268 53 38
c0271 51 50
c0272 41 50
c0274 44 43
c0275 45 40
c0277 37 41
c0278 46 41
c0281 40 69
c0283 45 44
c0284 41 39
c0286 51 42
c0287 43 44
c0288 32 63
c0289 67 38
c0290 41 38
c0293 47 68
c0294 49 32
c0295 49 59
c0297 65 34
c0298 33 70
c0299 70 34
c0300 47 34
c0302 38 47
c0304 47 58
c0305 47 40
c0306 47 50
c0307 62 41
c0308 52 32
c0309 38 59
c0313 39 38
c0314 54 68
c0315 75 39
c0316 54 49
c0317 45 59
c0318 45 41
c0319 62 42
c0320 63 35
c0321 66 47
c0323 66 50
c0326 63 47
c0329 32 48
c0330 37 54
c0332 45 51
c0334 37 42
c0335 46 54
c0336 52 32
c0337 36 53
c0338 56 58
c0339 47 53
c0340 36 48
c0341 35 54
c0343 39 60
c0345 38 54
c0348 42 41
c0349 65 39
c0350 44 34
c0351 35 49
c0353 44 36
c0355 43 51
c0356 49 36
c0358 40 49
c0359 47 58
c0360 53 49
c0361 46 53
c0363 31 64
c0364 37 49
c0365 55 46
c0366 57 49
c0367 44 40
c0368 64 42
c0371 49 52
c0373 48 68
c0374 43 42
c0375 47 52
c0376 36 41
c0377 43 36
c0378 34 69
c0380 70 34
c0383 48 34
c0385 36 42
c0388 61 45
c0389 57 40
c0391 33 91
c0392 51 60
c0393 38 43
c0394 38 41
c0395 43 55
c0396 41 58
c0397 47 48
c0399 56 50
c0401 56 46
c0402 47 44
c0403 61 41
c0404 61 43
c0412 42 36
c0413 56 60
c0415 48 39
c0416 37 49
c0417 49 38
c0418 62 44
c0419 72 38
c0420 48 33
c0421 58 40
c0422 55 43
c0423 61 45
c0424 44 76
c0425 56 40
c0426 50 37
c0427 38 44
c0428 41 44
c0429 55 37
c0430 41 48
c0431 40 37
c0432 36 51
