  0      0      0
  1 145546 142455
  2  79778  48414
  3  65468  55300
  4  53263  43197
  5  15884  12028
  6  11024   8266
  7  10096   7880
  8   8574   7404
  9   7566   6415
 10   6702   6021
 11   6517   6178
 12   6078   5744
 13   5761   5477
 14   5462   5311
 15   5401   5431
 16   4930   5171
 17   4804   4961
 18   4634   4813
 19   4549   4758
 20   4373   4519
 21   4208   4365
 22   4289   4204
 23   4004   4139
 24   3809   3951
 25   3682   3823
 26   3741   3857
 27   3587   3627
 28   3531   3555
 29   3407   3498
 30   3375   3584
 31   3217   3479
 32   3169   3395
 33   3128   3451
 34   3073   3387
 35   2965   3313
 36   2890   3233
 37   2805   3164
 38   2730   3013
 39   2597   2982
 40   2596   2891
 41   2450   2894
 42   2310   2630
 43   2335   2620
 44   2190   2572
 45   2135   2516
 46   2045   2352
 47   2047   2375
 48   1979   2296
 49   1996   2185
 50   1959   2159
 51   1910   2161
 52   1904   2177
 53   1784   2040
 54   1788   2031
 55   1741   2030
 56   1605   1890
 57   1565   1840
 58   1518   1881
 59   1466   1818
 60   1484   1712
 61   1422   1735
 62   1430   1679
 63   1396   1621
 64   1357   1582
 65   1387   1571
 66   1334   1549
 67   1318   1518
 68   1283   1509
 69   1228   1430
 70   1211   1451
 71   1142   1387
 72   1140   1370
 73   1054   1327
 74   1039   1306
 75   1005   1278
 76   1000   1265
 77   1009   1267
 78    989   1226
 79    965   1213
 80    938   1139
 81    906   1106
 82    891   1117
 83    809   1083
 84    797   1033
 85    743    991
 86    802    958
 87    708    857
 88    721    870
 89    698    808
 90    645    808
 91    632    772
 92    609    790
 93    568    783
 94    592    761
 95    603    713
 96    606    714
 97    616    680
 98    630    711
 99    585    704
100    533    701
101    531    641
102    540    599
103    503    593
104    519    560
105    447    551
106    448    560
107    405    525
108    376    486
109    385    495
110    353    453
111    370    451
112    344    431
113    329    450
114    306    410
115    293    447
116    294    408
117    266    404
118    279    396
119    263    368
120    243    356
121    260    347
122    243    346
123    267    337
124    253    303
125    232    282
126    195    274
127    176    249
128    163    263
129    173    267
130    160    243
131    153    224
132    175    210
133    131    212
134    136    221
135    124    194
136    128    182
137    102    201
138    143    187
139    126    167
140    125    165
141    123    165
142    111    134
143     82    134
144     82    119
145     88    127
146     73    116
147     68    133
148     53    126
149     68    105
150     72    108
151     76     93
152     68     88
153     62     80
154     58     76
155     48     81
156     44     81
157     53     90
158     47     82
159     43     94
160     43     89
161     33     85
162     38     72
163     36     72
164     24     54
165     19     71
166     24     49
167     25     47
168     16     42
169     23     45
170     25     43
171     27     43
172     27     38
173     38     37
174     26     28
175     23     23
176     20     25
177     16     21
178     17     16
179     10     17
180      7     14
181      8     16
182      5     16
183      7      8
184      6      8
185      9      2
186      7      5
187      5      0
188      3      2
189      4      3
190      1      3
191      4      1
192      2      1
193      1      0
194      0      0
195      0      1
196      0      0
197      0      0
198      0      0
199      0      0
200      0      0
