##### /gpfs1/active/jose/projects/nonhomol_pdbJul05/all_alpha/summaryMoreABelow200Filt.all
#NSS, all[NSS], N(TM | NSS), Pf(TM | NSS), error, N(Z | NSS), Pf(Z | NSS), error, L, allL[L], N(TM | L), Pf(TM | L), error
 0   1   0   0.0   0.0   0   0.0   0.0    0   1   0    0.0   0.0
 1   2   0   0.0   0.0   0   0.0   0.0   10   1   0    0.0   0.0
 2  23  16  69.6   9.6   6  26.1   9.2   20   1   0    0.0   0.0
 3  60  48  80.0   5.2  30  50.0   6.5   30   1   0    0.0   0.0
 4  81  66  81.5   4.3  54  66.7   5.2   40  16  13   81.2   9.8
 5  58  40  69.0   6.1  34  58.6   6.5   50  18  16   88.9   7.4
 6  57  40  70.2   6.1  33  57.9   6.5   60  39  27   69.2   7.4
 7  53  28  52.8   6.9  24  45.3   6.8   70  30  23   76.7   7.7
 8  25  14  56.0   9.9   7  28.0   9.0   80  36  33   91.7   4.6
 9  19   4  21.1   9.4  10  52.6  11.5   90  33  24   72.7   7.8
10   6   0   0.0   0.0   0   0.0   0.0  100  31  22   71.0   8.2
11   1   1 100.0   0.0   1 100.0   0.0  110  27  20   74.1   8.4
12   2   1  50.0  35.4   1  50.0  35.4  120  24  18   75.0   8.8
13   1   0   0.0   0.0   0   0.0   0.0  130  27  16   59.3   9.5
14   1   0   0.0   0.0   0   0.0   0.0  140  30  15   50.0   9.1
15   1   0   0.0   0.0   0   0.0   0.0  150  14   7   50.0  13.4
16   1   0   0.0   0.0   0   0.0   0.0  160  18   9   50.0  11.8
17   1   0   0.0   0.0   0   0.0   0.0  170  14   8   57.1  13.2
18   1   0   0.0   0.0   0   0.0   0.0  180  19   6   31.6  10.7
19   1   0   0.0   0.0   0   0.0   0.0  190  11   1    9.1   8.7
20   1   0   0.0   0.0   0   0.0   0.0  200   1   0    0.0   0.0
21   1   0   0.0   0.0   0   0.0   0.0  210   1   0    0.0   0.0
##### /gpfs1/active/jose/projects/nonhomol_pdbJul05/all_beta/summaryMoreBBelow200Filt.all
#NSS, all[NSS], N(TM | NSS), Pf(TM | NSS), error, N(Z | NSS), Pf(Z | NSS), error, L, allL[L], N(TM | L), Pf(TM | L), error
 0   1   0   0.0   0.0   0   0.0   0.0    0   1   0    0.0   0.0
 1   1   0   0.0   0.0   0   0.0   0.0   10   1   0    0.0   0.0
 2   1   1 100.0   0.0   0   0.0   0.0   20   1   0    0.0   0.0
 3   7   4  57.1  18.7   2  28.6  17.1   30   1   0    0.0   0.0
 4  12   4  33.3  13.6   2  16.7  10.8   40   6   3   50.0  20.4
